state,coc,coc_num,coc_award_amount,rural_urban,total_beds,total_hmis_beds,hmis_bed_coverage_perc,es_sh_avg_days,es_sh_median_days,es_sh_th_avg_days,es_sh_th_median_days,num_exit_to_perm_housing_so,num_return_6_so,num_return_12_so,num_return_24_so,perc_return_6_so,perc_return_12_so,perc_return_24_so,num_exit_to_perm_housing_es,num_return_6_es,num_return_12_es,num_return_24_es,perc_return_6_es,perc_return_12_es,perc_return_24_es,num_exit_to_perm_housing_th,num_return_6_th,num_return_12_th,num_return_24_th,perc_return_6_th,perc_return_12_th,perc_return_24_th,num_exit_to_perm_housing_sh,num_return_6_sh,num_return_12_sh,num_return_24_sh,perc_return_6_sh,perc_return_12_sh,perc_return_24_sh,num_exit_to_perm_housing_ph,num_return_6_ph,num_return_12_ph,num_return_24_ph,perc_return_6_ph,perc_return_12_ph,perc_return_24_ph,num_exit_to_perm_housing_so_es_th_sh_ph,num_return_6_so_es_th_sh_ph,num_return_12_so_es_th_sh_ph,num_return_24_all,perc_return_6_all,perc_return_12_all,perc_return_24_all,,,,,,,,,,avg_pct_wage_inc,,,,,,,,total_num_exit_so,num_exit_so_to_temp,num_exit_so_to_perm,perc_successfully_exit_so,total_num_exit_es_th_sh_phrrh,num_exit_es_th_sh_phrrh_to_perm,perc_successfully_exit_es_th_sh_phrrh_to_perm,,,,,,,,,,,,,,,,,,
NJ,New Brunswick/Middlesex County CoC,NJ-507,"$3,150,525.00",Largely Suburban CoC,161,141,88%,86,54,94,57,2,0,0,1,0%,0%,50%,240,3,10,20,1%,4%,8%,18,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,207,2,2,8,1%,1%,4%,467,5,12,29,1%,3%,6%,702,136,20,15%,77,57%,79,58%,93,21,23%,20,22%,40,43%,522,775,70,30,13,61%,722,424,59%,489,474,97%,561,31,6%,2,0,0%,56,3,5%,153,0,0%,70,6,9%
NJ,Monmouth County CoC,NJ-508,"$3,525,111.00",Largely Suburban CoC,195,190,97%,29,18,75,30,7,1,1,1,14%,14%,14%,59,2,4,8,3%,7%,14%,108,1,1,4,1%,1%,4%,0,0,0,0,NA,NA,NA,84,0,0,1,0%,0%,1%,258,4,6,14,2%,2%,5%,880,200,22,11%,66,33%,79,40%,33,4,12%,10,30%,13,39%,588,676,100,6,22,28%,796,171,21%,469,452,96%,577,377,65%,212,8,4%,68,0,0%,62,1,2%,54,25,46%
NJ,Morris County CoC,NJ-509,"$1,947,345.00",Largely Suburban CoC,228,228,100%,76,33,119,62,10,2,2,3,20%,20%,30%,200,30,36,47,15%,18%,24%,70,1,3,5,1%,4%,7%,10,0,0,1,0%,0%,10%,62,1,2,5,2%,3%,8%,352,34,43,61,10%,12%,17%,946,58,2,3%,13,22%,15,26%,23,3,13%,8,35%,9,39%,605,642,62,5,8,21%,764,307,40%,227,214,94%,726,309,43%,125,2,2%,48,0,0%,22,1,5%,19,7,37%
NJ,Lakewood Township/Ocean County CoC,NJ-510,"$700,450.00",Largely Suburban CoC,61,47,77%,21,7,27,8,4,0,0,0,0%,0%,0%,48,3,4,7,6%,8%,15%,9,1,1,1,11%,11%,11%,0,0,0,0,NA,NA,NA,20,0,0,0,0%,0%,0%,81,4,5,8,5%,6%,10%,845,18,1,6%,8,44%,9,50%,6,1,17%,2,33%,2,33%,752,828,29,1,10,38%,882,103,12%,91,90,99%,387,266,69%,13,0,0%,9,1,11%,50,0,0%,28,16,57%
NJ,Paterson/Passaic County CoC,NJ-511,"$4,511,971.00",Largely Suburban CoC,333,268,80%,105,49,112,53,3,0,0,0,0%,0%,0%,573,20,28,50,3%,5%,9%,13,0,0,1,0%,0%,8%,0,0,0,0,NA,NA,NA,321,0,4,7,0%,1%,2%,910,20,32,58,2%,4%,6%,897,189,18,10%,33,17%,49,26%,32,5,16%,6,19%,10,31%,635,966,628,13,16,5%,1013,760,75%,573,550,96%,709,32,5%,23,3,13%,61,7,11%,340,10,3%,83,29,35%
NJ,Somerset County CoC,NJ-513,"$404,421.00",Largely Suburban CoC,271,252,93%,80,50,168,111,6,0,1,1,0%,17%,17%,88,6,12,13,7%,14%,15%,15,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,46,0,0,1,0%,0%,2%,155,6,13,15,4%,8%,10%,533,11,0,0%,2,18%,2,18%,1,1,100%,0,0%,1,100%,416,469,8,1,3,50%,464,227,49%,98,98,100%,275,14,5%,179,10,6%,8,1,13%,34,0,0%,6,2,33%
NJ,Trenton/Mercer County CoC,NJ-514,"$4,386,254.00",Largely Suburban CoC,313,313,100%,47,23,60,31,5,0,0,0,0%,0%,0%,335,16,26,35,5%,8%,10%,92,5,12,22,5%,13%,24%,0,0,0,0,NA,NA,NA,393,7,10,18,2%,3%,5%,825,28,48,75,3%,6%,9%,1983,178,6,3%,122,69%,126,71%,72,20,28%,12,17%,30,42%,1253,1591,19,0,12,63%,1857,586,32%,721,679,94%,1465,1073,73%,213,39,18%,84,15,18%,413,14,3%,16,7,44%
NJ,Elizabeth/Union County CoC,NJ-515,"$4,551,474.00",Largely Suburban CoC,219,218,100%,55,21,78,30,70,9,13,20,13%,19%,29%,355,33,50,69,9%,14%,19%,121,11,20,20,9%,17%,17%,0,0,0,0,NA,NA,NA,288,13,14,23,5%,5%,8%,834,66,97,132,8%,12%,16%,1530,179,10,6%,71,40%,77,43%,45,6,13%,25,56%,29,64%,1116,857,125,11,21,26%,1433,603,42%,546,532,97%,1105,20,2%,255,1,0%,84,0,0%,418,20,5%,15,6,40%
NJ,"Warren, Sussex, Hunterdon Counties CoC   ",NJ-516,"$1,268,835.00",Largely Suburban CoC,210,201,96%,53,20,96,34,4,0,0,0,0%,0%,0%,222,13,21,33,6%,9%,15%,37,2,2,2,5%,5%,5%,0,0,0,0,NA,NA,NA,141,4,6,10,3%,4%,7%,404,19,29,45,5%,7%,11%,1011,78,6,8%,10,13%,15,19%,59,10,17%,3,5%,13,22%,756,905,19,1,11,63%,920,561,61%,83,83,100%,365,2,1%,151,18,12%,12,0,0%,221,1,0%,18,4,22%
NM,Albuquerque CoC,NM-500,"$5,567,279.00",Major City CoC,1118,953,85%,41,17,60,21,15,0,1,2,0%,7%,13%,514,77,105,136,15%,20%,26%,155,17,21,29,11%,14%,19%,0,0,0,0,NA,NA,NA,555,26,41,72,5%,7%,13%,1239,120,168,239,10%,14%,19%,4532,271,20,7%,91,34%,104,38%,253,45,18%,59,23%,97,38%,3287,3714,111,47,13,54%,4030,908,23%,1081,1037,96%,3857,101,3%,287,7,2%,271,14,5%,651,4,1%,113,1,1%
NM,New Mexico Balance of State CoC,NM-501,"$5,458,209.00",Largely Rural CoC,745,222,30%,41,21,61,23,4,1,1,1,25%,25%,25%,356,44,71,96,12%,20%,27%,52,6,6,15,12%,12%,29%,0,0,0,0,NA,NA,NA,524,15,24,39,3%,5%,7%,936,66,102,151,7%,11%,16%,1732,310,42,14%,107,35%,130,42%,198,49,25%,66,33%,108,55%,1189,1615,247,27,18,18%,1835,765,42%,605,566,94%,1609,176,11%,58,5,9%,197,26,13%,273,5,2%,115,68,59%
NV,Las Vegas/Clark County CoC,NV-500,"$13,540,428.00",Major City CoC,1784,1783,100%,62,29,83,39,40,20,22,25,50%,55%,63%,1216,181,237,313,15%,19%,26%,836,107,173,238,13%,21%,28%,12,6,6,8,50%,50%,67%,1926,139,235,385,7%,12%,20%,4030,453,673,969,11%,17%,24%,8866,396,9,2%,119,30%,128,32%,468,68,15%,71,15%,136,29%,5101,5713,5670,160,542,12%,8477,2500,29%,1056,904,86%,7212,4070,56%,1388,114,8%,368,14,4%,1203,15,1%,5674,4497,79%
NV,"Reno, Sparks/Washoe County CoC",NV-501,"$1,973,370.00",Other Largely Urban CoC,893,755,85%,72,52,110,65,37,2,6,6,5%,16%,16%,559,113,149,177,20%,27%,32%,206,13,25,40,6%,12%,19%,0,0,0,0,NA,NA,NA,234,17,28,38,7%,12%,16%,1036,145,208,261,14%,20%,25%,2485,101,6,6%,20,20%,24,24%,57,6,11%,17,30%,22,39%,720,813,854,91,37,15%,2212,712,32%,475,444,93%,1709,641,38%,426,14,3%,81,15,19%,288,3,1%,855,273,32%
NV,Nevada Balance of State CoC,NV-502,"$676,545.00",Largely Rural CoC,81,76,94%,51,35,59,36,21,1,1,1,5%,5%,5%,102,9,11,17,9%,11%,17%,45,2,4,4,4%,9%,9%,0,0,0,0,NA,NA,NA,98,3,6,9,3%,6%,9%,266,15,22,31,6%,8%,12%,426,20,3,15%,7,35%,9,45%,31,8,26%,9,29%,16,52%,186,311,112,32,30,55%,559,213,38%,240,233,97%,403,101,25%,5,0,0%,86,0,0%,198,8,4%,116,41,35%
NY,"Rochester, Irondequoit, Greece/Monroe County CoC",NY-500,"$12,736,174.00",Largely Suburban CoC,687,574,84%,39,23,47,26,42,3,6,16,7%,14%,38%,2273,213,406,676,9%,18%,30%,145,13,25,40,9%,17%,28%,17,3,7,8,18%,41%,47%,518,40,52,84,8%,10%,16%,2995,272,496,824,9%,17%,28%,5731,639,64,10%,230,36%,272,43%,922,86,9%,272,30%,349,38%,3706,3845,261,25,96,46%,5269,2516,48%,1304,1268,97%,5026,1424,28%,306,55,18%,397,26,7%,639,72,11%,214,23,11%
NY,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC ",NY-501,"$1,746,038.00",Largely Rural CoC,67,67,100%,18,11,44,14,2,0,0,0,0%,0%,0%,377,31,49,98,8%,13%,26%,83,4,5,10,5%,6%,12%,0,0,0,0,NA,NA,NA,292,6,8,16,2%,3%,5%,754,41,62,124,5%,8%,16%,738,77,9,12%,27,35%,36,47%,129,11,9%,25,19%,35,27%,573,860,0,0,0,NA,860,634,74%,264,232,88%,621,7,1%,85,5,6%,100,3,3%,289,2,1%,4,3,75%
NY,Albany City & County CoC,NY-503,"$6,054,612.00",Largely Suburban CoC,416,260,63%,40,22,55,25,42,6,6,7,14%,14%,17%,514,34,65,100,7%,13%,19%,69,2,6,12,3%,9%,17%,0,0,0,0,NA,NA,NA,220,6,9,19,3%,4%,9%,845,48,86,138,6%,10%,16%,2119,393,54,14%,134,34%,177,45%,181,43,24%,42,23%,82,45%,1501,1646,172,0,5,3%,1890,830,44%,1096,1044,95%,1741,147,8%,122,4,3%,358,14,4%,280,4,1%,33,31,94%
NY,Cattaragus County CoC,NY-504,"$325,404.00",Largely Rural CoC,0,0,NA,32,18,32,18,0,0,0,0,NA,NA,NA,138,1,8,17,1%,6%,12%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,23,0,1,2,0%,4%,9%,161,1,9,19,1%,6%,12%,234,27,1,4%,3,11%,4,15%,7,1,14%,2,29%,3,43%,176,182,0,0,0,NA,202,80,40%,62,60,97%,211,53,25%,0,0,NA,12,0,0%,63,0,0%,0,0,NA
NY,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",NY-505,"$9,755,656.00",Largely Suburban CoC,709,694,98%,41,23,54,27,25,5,6,9,20%,24%,36%,2122,304,482,756,14%,23%,36%,265,19,36,58,7%,14%,22%,0,0,0,0,NA,NA,NA,550,39,61,119,7%,11%,22%,2962,367,585,942,12%,20%,32%,4779,510,51,10%,114,22%,143,28%,323,57,18%,75,23%,121,37%,2872,3104,180,50,59,61%,4170,2001,48%,1248,1214,97%,4365,1057,24%,273,12,4%,300,13,4%,860,3,0%,151,50,33%
NY,Schenectady City & County CoC,NY-507,"$4,498,061.00",Largely Suburban CoC,197,179,91%,47,23,65,24,0,0,0,0,NA,NA,NA,702,79,111,175,11%,16%,25%,95,5,11,23,5%,12%,24%,0,0,0,0,NA,NA,NA,155,6,12,22,4%,8%,14%,952,90,134,220,9%,14%,23%,1723,195,17,9%,74,38%,83,43%,181,49,27%,57,31%,94,52%,1119,1355,0,0,0,NA,1448,881,61%,624,596,96%,1054,226,21%,93,0,0%,361,11,3%,378,0,0%,0,0,NA
NY,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",NY-508,"$12,973,261.00",Largely Suburban CoC,851,786,92%,36,19,61,22,180,19,36,60,11%,20%,33%,1490,180,269,421,12%,18%,28%,189,20,33,46,11%,17%,24%,3,1,1,2,33%,33%,67%,514,17,38,70,3%,7%,14%,2376,237,377,599,10%,16%,25%,5540,742,61,8%,279,38%,317,43%,406,68,17%,176,43%,225,55%,3799,4085,268,26,130,58%,5014,1961,39%,1275,1225,96%,4937,1235,25%,225,19,8%,241,34,14%,804,18,2%,275,86,31%
NY,Ithaca/Tompkins County CoC,NY-510,"$213,365.00",Largely Rural CoC,43,43,100%,60,36,67,41,0,0,0,0,NA,NA,NA,197,27,43,72,14%,22%,37%,10,0,3,4,0%,30%,40%,0,0,0,0,NA,NA,NA,23,1,3,3,4%,13%,13%,230,28,49,79,12%,21%,34%,720,24,0,0%,2,8%,2,8%,15,2,13%,3,20%,5,33%,514,567,0,0,0,NA,603,267,44%,84,78,93%,520,241,46%,33,0,0%,27,2,7%,36,0,0%,0,0,NA
NY,"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties CoC",NY-511,"$1,730,234.00",Largely Rural CoC,281,270,96%,69,16,99,18,0,0,0,0,NA,NA,NA,804,80,134,181,10%,17%,23%,43,2,2,2,5%,5%,5%,0,0,0,0,NA,NA,NA,246,0,9,12,0%,4%,5%,1093,82,145,195,8%,13%,18%,1626,189,15,8%,24,13%,33,17%,191,35,18%,27,14%,58,30%,1152,1496,0,0,0,NA,1639,850,52%,459,432,94%,1404,134,10%,58,5,9%,130,5,4%,180,15,8%,0,0,NA
NY,Troy/Rensselaer County CoC,NY-512,"$3,735,842.00",Largely Suburban CoC,109,107,98%,33,20,41,22,16,5,7,9,31%,44%,56%,300,21,39,69,7%,13%,23%,39,5,8,8,13%,21%,21%,0,0,0,0,NA,NA,NA,179,2,17,25,1%,9%,14%,534,33,71,111,6%,13%,21%,862,178,25,14%,75,42%,94,53%,34,6,18%,16,47%,21,62%,599,814,47,6,28,72%,844,383,45%,595,569,96%,758,190,25%,46,0,0%,310,13,4%,364,22,6%,31,4,13%
NY,"Wayne, Ontario, Seneca, Yates Counties CoC",NY-513,"$338,057.00",Largely Rural CoC,210,210,100%,61,33,85,46,0,0,0,0,NA,NA,NA,103,6,14,24,6%,14%,23%,53,2,4,9,4%,8%,17%,0,0,0,0,NA,NA,NA,27,2,2,2,7%,7%,7%,183,10,20,35,5%,11%,19%,746,18,0,0%,0,0%,0,0%,62,8,13%,3,5%,10,16%,574,583,0,0,0,NA,253,126,50%,31,31,100%,479,144,30%,194,5,3%,24,1,4%,0,0,NA,0,0,NA
NY,"Jamestown, Dunkirk/Chautauqua County CoC",NY-514,"$254,503.00",Largely Rural CoC,126,126,100%,33,16,50,23,0,0,0,0,NA,NA,NA,41,5,7,8,12%,17%,20%,6,1,1,1,17%,17%,17%,0,0,0,0,NA,NA,NA,89,0,0,7,0%,0%,8%,136,6,8,16,4%,6%,12%,399,47,4,9%,8,17%,10,21%,25,2,8%,6,24%,8,32%,314,400,1,0,1,100%,405,170,42%,60,60,100%,376,155,41%,57,0,0%,7,0,0%,68,7,10%,0,0,NA
NY,Clinton County CoC,NY-516,"$129,549.00",Largely Rural CoC,0,0,NA,175,158,151,133,3,0,0,0,0%,0%,0%,31,0,1,1,0%,3%,3%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,4,0,0,0,0%,0%,0%,38,0,1,1,0%,3%,3%,142,12,0,0%,4,33%,4,33%,6,1,17%,1,17%,2,33%,113,127,6,3,0,50%,172,140,81%,101,92,91%,45,5,11%,24,0,0%,32,1,3%,104,0,0%,5,1,20%
NY,"Utica, Rome/Oneida, Madison Counties CoC",NY-518,"$3,443,985.00",Largely Rural CoC,160,112,70%,49,37,59,39,0,0,0,0,NA,NA,NA,343,18,50,80,5%,15%,23%,52,0,2,4,0%,4%,8%,0,0,0,0,NA,NA,NA,208,11,17,30,5%,8%,14%,603,29,69,114,5%,11%,19%,630,241,20,8%,57,24%,77,32%,225,42,19%,39,17%,76,34%,448,618,10,3,0,30%,583,363,62%,542,511,94%,516,71,14%,27,0,0%,193,0,0%,256,0,0%,10,7,70%
NY,"Columbia, Greene Counties CoC",NY-519,"$517,778.00",Largely Rural CoC,0,0,NA,98,42,98,42,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,16,0,0,0,0%,0%,0%,16,0,0,0,0%,0%,0%,83,25,4,16%,8,32%,10,40%,2,0,0%,1,50%,1,50%,77,124,0,0,0,NA,27,5,19%,48,45,94%,19,9,47%,0,0,NA,213,11,5%,21,4,19%,0,0,NA
NY,"Franklin, Essex Counties CoC",NY-520,"$90,801.00",Largely Rural CoC,6,6,100%,83,21,103,23,0,0,0,0,NA,NA,NA,74,7,11,13,9%,15%,18%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,4,0,0,0,0%,0%,0%,78,7,11,13,9%,14%,17%,165,22,7,32%,4,18%,9,41%,0,0,NA,0,NA,0,NA,127,140,0,0,0,NA,138,70,51%,59,59,100%,140,21,15%,0,0,NA,4,0,0%,136,2,1%,0,0,NA
NY,"Jefferson, Lewis, St. Lawrence Counties CoC",NY-522,"$1,432,375.00",Largely Rural CoC,14,14,100%,12,7,19,7,0,0,0,0,NA,NA,NA,404,17,46,79,4%,11%,20%,15,0,1,4,0%,7%,27%,0,0,0,0,NA,NA,NA,275,3,10,17,1%,4%,6%,694,20,57,100,3%,8%,14%,566,24,5,21%,11,46%,16,67%,83,14,17%,19,23%,33,40%,493,717,0,0,0,NA,761,529,70%,379,338,89%,552,67,12%,19,1,5%,189,4,2%,232,2,1%,0,0,NA
NY,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC",NY-523,"$1,753,455.00",Largely Suburban CoC,105,90,86%,49,22,56,26,1,0,1,1,0%,100%,100%,219,36,42,49,16%,19%,22%,34,5,6,6,15%,18%,18%,0,0,0,0,NA,NA,NA,152,4,4,6,3%,3%,4%,406,45,53,62,11%,13%,15%,559,79,11,14%,27,34%,33,42%,64,11,17%,13,20%,22,34%,426,582,15,7,0,47%,516,324,63%,277,266,96%,376,67,18%,44,0,0%,253,17,7%,176,1,1%,13,6,46%
NY,New York Balance of State Continuum of Care,NY-525,"$32,957.00",Largely Rural CoC,390,217,56%,48,19,51,20,3,0,0,0,0%,0%,0%,221,11,20,34,5%,9%,15%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,61,0,1,3,0%,2%,5%,285,11,21,37,4%,7%,13%,1506,54,3,6%,9,17%,9,17%,6,1,17%,2,33%,3,50%,1369,1478,9,3,2,56%,1308,288,22%,246,231,94%,1873,904,48%,27,0,0%,242,11,5%,186,18,10%,16,7,44%
NY,New York City CoC,NY-600,"$124,630,884.00",Major City CoC,75142,66682,89%,175,49,178,50,535,52,72,92,10%,13%,17%,37340,4451,6169,8543,12%,17%,23%,283,56,84,99,20%,30%,35%,7,1,1,2,14%,14%,29%,2236,108,182,282,5%,8%,13%,40401,4668,6508,9018,12%,16%,22%,136946,6279,595,9%,2794,44%,3057,49%,885,171,19%,503,57%,581,66%,60887,61707,3409,1231,456,49%,77839,37451,48%,12256,12057,98%,77809,26350,34%,747,101,14%,1039,34,3%,1472,43,3%,3417,1649,48%
NY,Poughkeepsie/Dutchess County CoC,NY-601,"$1,353,027.00",Largely Suburban CoC,451,451,100%,72,19,125,25,0,0,0,0,NA,NA,NA,232,27,37,55,12%,16%,24%,67,5,9,13,7%,13%,19%,0,0,0,0,NA,NA,NA,61,6,8,12,10%,13%,20%,360,38,54,80,11%,15%,22%,1878,112,16,14%,16,14%,31,28%,85,17,20%,11,13%,26,31%,1180,1233,0,0,0,NA,1372,452,33%,254,230,91%,1353,110,8%,78,0,0%,70,4,6%,91,0,0%,0,0,NA
NY,"Newburgh, Middletown/Orange County CoC",NY-602,"$2,755,959.00",Largely Suburban CoC,269,238,88%,60,36,69,40,0,0,0,0,NA,NA,NA,391,43,82,118,11%,21%,30%,123,4,13,23,3%,11%,19%,0,0,0,0,NA,NA,NA,33,4,4,4,12%,12%,12%,547,51,99,145,9%,18%,27%,1490,171,11,6%,35,20%,40,23%,53,9,17%,15,28%,24,45%,940,1000,1,1,0,100%,1240,750,60%,295,285,97%,1210,31,3%,99,0,0%,52,0,0%,87,0,0%,1,0,0%
NY,"Nassau, Suffolk Counties CoC",NY-603,"$12,225,380.00",Largely Suburban CoC,3036,3036,100%,157,86,161,90,49,1,4,5,2%,8%,10%,1605,126,196,346,8%,12%,22%,109,5,7,13,5%,6%,12%,1,1,1,1,100%,100%,100%,377,11,19,39,3%,5%,10%,2141,144,227,404,7%,11%,19%,9280,430,46,11%,131,30%,159,37%,91,13,14%,28,31%,39,43%,5401,5781,37,15,21,97%,5639,2609,46%,1901,1807,95%,5712,908,16%,274,17,6%,226,12,5%,346,8,2%,20,0,0%
NY,"Yonkers, Mount Vernon/Westchester County CoC",NY-604,"$19,556,693.00",Largely Suburban CoC,1654,1654,100%,124,59,239,99,26,3,4,7,12%,15%,27%,586,70,103,139,12%,18%,24%,355,18,25,55,5%,7%,15%,0,0,0,0,NA,NA,NA,396,32,40,65,8%,10%,16%,1363,123,172,266,9%,13%,20%,4960,1129,88,8%,295,26%,367,33%,389,66,17%,66,17%,126,32%,2400,2911,73,14,41,75%,3080,786,26%,4533,4474,99%,3032,1897,63%,422,21,5%,687,9,1%,357,1,0%,2,0,0%
NY,Rockland County CoC,NY-606,"$935,678.00",Largely Suburban CoC,81,81,100%,104,106,114,106,0,0,0,0,NA,NA,NA,52,0,3,12,0%,6%,23%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,6,0,0,0,0%,0%,0%,58,0,3,12,0%,5%,21%,192,16,1,6%,1,6%,2,13%,12,4,33%,1,8%,5,42%,172,198,0,0,0,NA,168,75,45%,82,80,98%,162,1,1%,0,0,NA,14,1,7%,4,1,25%,0,0,NA
NY,Sullivan County CoC,NY-607,"$265,715.00",Largely Rural CoC,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,1,0,0,0,0%,0%,0%,1,0,0,0,0%,0%,0%,0,19,3,16%,5,26%,6,32%,0,0,NA,0,NA,0,NA,0,0,0,0,0,NA,0,0,NA,19,19,100%,807,0,0%,0,0,NA,0,0,NA,0,0,NA,0,0,NA
NY,Kingston/Ulster County CoC,NY-608,"$1,278,269.00",Largely Rural CoC,84,84,100%,92,44,92,44,0,0,0,0,NA,NA,NA,777,111,163,256,14%,21%,33%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,44,0,1,7,0%,2%,16%,821,111,164,263,14%,20%,32%,1348,39,9,23%,7,18%,15,38%,43,14,33%,6,14%,15,35%,811,885,0,0,0,NA,1069,626,59%,179,162,91%,1116,23,2%,0,0,NA,76,0,0%,17,0,0%,0,0,NA
OH,Cincinnati/Hamilton County CoC,OH-500,"$22,793,209.00",Largely Suburban CoC,803,803,100%,50,31,58,35,194,12,24,47,6%,12%,24%,2432,191,350,563,8%,14%,23%,293,41,66,101,14%,23%,34%,0,0,0,0,NA,NA,NA,1405,116,174,234,8%,12%,17%,4324,360,614,945,8%,14%,22%,6326,1051,73,7%,326,31%,381,36%,847,185,22%,188,22%,353,42%,4130,4385,539,123,137,48%,5428,2584,48%,2217,2140,97%,5312,1998,38%,419,80,19%,399,35,9%,1351,20,1%,547,230,42%
OH,Toledo/Lucas County CoC,OH-501,"$3,781,149.00",Other Largely Urban CoC,644,283,44%,70,37,73,39,18,0,0,1,0%,0%,6%,544,37,70,124,7%,13%,23%,92,9,12,15,10%,13%,16%,1,0,0,0,0%,0%,0%,556,31,54,82,6%,10%,15%,1211,77,136,222,6%,11%,18%,1692,327,41,13%,77,24%,106,32%,178,35,20%,54,30%,83,47%,1128,1312,142,5,17,15%,1429,682,48%,953,927,97%,1419,318,22%,104,0,0%,157,21,13%,455,123,27%,113,90,80%
OH,Cleveland/Cuyahoga County CoC,OH-502,"$29,733,277.00",Largely Suburban CoC,1491,1212,81%,105,58,107,61,99,16,17,28,16%,17%,28%,1375,328,418,541,24%,30%,39%,460,75,91,141,16%,20%,31%,3,1,1,1,33%,33%,33%,1241,125,201,290,10%,16%,23%,3178,545,728,1001,17%,23%,31%,6564,1740,50,3%,338,19%,370,21%,364,47,13%,112,31%,145,40%,3410,3897,282,142,54,70%,5375,2152,40%,3188,3142,99%,5093,2175,43%,222,2,1%,431,2,0%,1255,19,2%,114,13,11%
OH,Columbus/Franklin County CoC,OH-503,"$15,093,005.00",Major City CoC,1154,1154,100%,60,45,68,49,205,26,36,48,13%,18%,23%,3856,402,755,1224,10%,20%,32%,147,14,22,36,10%,15%,24%,0,0,0,0,NA,NA,NA,1325,151,254,346,11%,19%,26%,5533,593,1067,1654,11%,19%,30%,10266,1303,117,9%,438,34%,497,38%,235,21,9%,75,32%,90,38%,6366,6515,462,69,149,47%,8519,3388,40%,2619,2526,96%,8393,369,4%,151,2,1%,420,19,5%,3213,54,2%,333,9,3%
OH,Youngstown/Mahoning County CoC,OH-504,"$1,944,838.00",Other Largely Urban CoC,163,163,100%,24,7,55,10,4,1,1,1,25%,25%,25%,60,14,15,18,23%,25%,30%,12,0,0,1,0%,0%,8%,0,0,0,0,NA,NA,NA,373,28,56,83,8%,15%,22%,449,43,72,103,10%,16%,23%,117,175,13,7%,20,11%,30,17%,91,16,18%,11,12%,26,29%,92,427,124,22,46,55%,436,289,66%,525,503,96%,99,6,6%,14,0,0%,140,1,1%,382,125,33%,104,18,17%
OH,"Dayton, Kettering/Montgomery County CoC",OH-505,"$10,687,124.00",Largely Suburban CoC,480,480,100%,44,17,54,19,67,6,12,22,9%,18%,33%,965,138,222,334,14%,23%,35%,152,17,31,42,11%,20%,28%,0,0,0,0,NA,NA,NA,361,29,67,98,8%,19%,27%,1545,190,332,496,12%,21%,32%,4717,713,77,11%,290,41%,342,48%,338,82,24%,107,32%,174,51%,2905,3065,200,57,117,87%,3854,1534,40%,1194,1134,95%,3954,1344,34%,199,1,1%,249,14,6%,593,7,1%,370,86,23%
OH,"Akron, Barberton/Summit County CoC",OH-506,"$4,722,195.00",Largely Suburban CoC,384,384,100%,41,16,66,20,93,8,18,29,9%,19%,31%,684,104,150,196,15%,22%,29%,116,9,15,22,8%,13%,19%,0,0,0,0,NA,NA,NA,354,32,47,56,9%,13%,16%,1247,153,230,303,12%,18%,24%,2214,204,26,13%,94,46%,107,52%,511,86,17%,42,8%,118,23%,1331,1697,182,16,53,38%,2271,881,39%,504,488,97%,1969,1104,56%,212,59,28%,129,9,7%,624,4,1%,146,66,45%
OH,Ohio Balance of State CoC,OH-507,"$20,720,684.00",Largely Rural CoC,2374,1925,81%,42,30,61,34,19,0,0,1,0%,0%,5%,5707,698,1094,1503,12%,19%,26%,1006,37,68,106,4%,7%,11%,11,0,0,0,0%,0%,0%,4291,135,267,463,3%,6%,11%,11034,870,1429,2073,8%,13%,19%,11626,1359,94,7%,382,28%,443,33%,1446,280,19%,266,18%,517,36%,8311,12019,218,49,86,62%,12596,8843,70%,3293,3201,97%,9432,602,6%,1203,22,2%,1011,39,4%,5552,93,2%,195,11,6%
